Date,Site ID,POC,Daily Max 1-hour NO2 Concentration,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,SITE_LATITUDE,SITE_LONGITUDE
09/22/2020,60370002,2,26.3,25,Azusa,24,100,34.1365,-117.92391
09/23/2020,60370002,2,40,38,Azusa,24,100,34.1365,-117.92391
09/24/2020,60370002,2,50.4,47,Azusa,24,100,34.1365,-117.92391
09/25/2020,60370002,2,30.1,28,Azusa,24,100,34.1365,-117.92391
09/26/2020,60370002,2,15.2,14,Azusa,24,100,34.1365,-117.92391
09/27/2020,60370002,2,9.9,8,Azusa,24,100,34.1365,-117.92391
09/28/2020,60370002,2,32.8,30,Azusa,24,100,34.1365,-117.92391
09/29/2020,60370002,2,49.4,46,Azusa,24,100,34.1365,-117.92391
09/30/2020,60370002,2,50.1,47,Azusa,24,100,34.1365,-117.92391
10/01/2020,60370002,2,47.3,44,Azusa,24,100,34.1365,-117.92391
10/02/2020,60370002,2,35.9,33,Azusa,24,100,34.1365,-117.92391
10/03/2020,60370002,2,34.1,32,Azusa,24,100,34.1365,-117.92391
10/04/2020,60370002,2,31.4,29,Azusa,24,100,34.1365,-117.92391
10/05/2020,60370002,2,40.6,38,Azusa,24,100,34.1365,-117.92391
10/06/2020,60370002,2,52.6,49,Azusa,24,100,34.1365,-117.92391
10/07/2020,60370002,2,50.3,47,Azusa,24,100,34.1365,-117.92391
10/08/2020,60370002,2,15.6,14,Azusa,24,100,34.1365,-117.92391
10/09/2020,60370002,2,15.9,14,Azusa,24,100,34.1365,-117.92391
10/10/2020,60370002,2,10.8,9,Azusa,24,100,34.1365,-117.92391
10/11/2020,60370002,2,17.8,16,Azusa,24,100,34.1365,-117.92391
10/12/2020,60370002,2,34.4,32,Azusa,24,100,34.1365,-117.92391
10/13/2020,60370002,2,42.5,40,Azusa,24,100,34.1365,-117.92391
10/14/2020,60370002,2,49.1,46,Azusa,21,88,34.1365,-117.92391
10/15/2020,60370002,2,46.5,43,Azusa,24,100,34.1365,-117.92391
10/16/2020,60370002,2,54.7,51,Azusa,24,100,34.1365,-117.92391
10/17/2020,60370002,2,37.3,35,Azusa,24,100,34.1365,-117.92391
